County,Date,Field_ID,Sex,Size_cm,Waterway,City,Probable_Cause
Wakulla,2024-06-22,MNW24090,F,210,Wakulla River,St. Marks,Verified; Not Necropsied
Brevard,2024-06-24,MEC24083,F,106,Indian River,Merritt Island,Perinatal (<= 150 cm)
Brevard,2024-06-26,MEC24084,F,118,Banana River,Merritt Island,Perinatal (<= 150 cm)
Glades,2024-06-26,MSW24083,U,145,Caloosahatchee River,Moore Haven,Human Related: Flood Gate/Canal Lock
Sarasota,2024-06-27,MSW24084,F,288,Roberts Bay,Siesta Key,Natural: Other
Seminole,2024-06-28,MEC24085,F,150,Lake Monroe,Sanford,Perinatal (<= 150 cm)
Clay,2024-06-28,MNE24042,F,157,Doctors Lake,Orange Park,Natural: Other
Lee,2024-06-28,MSW24085,M,245,Estero Bay,Bonita Springs,Human Related: Watercraft Collision
Lee,2024-06-28,MSW24086,U,200,Pine Island Sound,St. James City,Verified; Not Necropsied
Pinellas,2024-06-29,MNW24091,M,218,Clearwater Harbor,Dunedin,Verified; Not Necropsied
Brevard,2024-06-30,MEC24086,M,346,Atlantic Ocean,Cape Canaveral,Human Related: Watercraft Collision
Lee,2024-06-30,MSW24087,F,238,Matlacha Pass,St. James City,Verified; Not Necropsied
Volusia,2024-07-02,MEC24087,M,215,St. Johns River,Bithlo,Verified; Not Necropsied
Monroe,2024-07-03,MSE24049,F,143,Florida Bay,Islamorada,Perinatal (<= 150 cm)
Brevard,2024-07-04,MEC24088,U,120,Sykes Creek,Merritt Island,Perinatal (<= 150 cm)
Volusia,2024-07-04,MEC24089,M,273,Indian River North,Oak Hill,Human Related: Watercraft Collision
Pinellas,2024-07-04,MNW24092,F,354,St. Joseph Sound,Clearwater Harbor,Verified; Not Necropsied
Brevard,2024-07-05,MEC24090,M,123,Indian River,Merritt Island,Perinatal (<= 150 cm)
Brevard,2024-07-05,MEC24093,U,300,Indian River,Allenhurst,Verified; Not Necropsied
Citrus,2024-07-05,MNW24093,M,242,Halls River,Homosassa,Undetermined: Too Decomposed
Volusia,2024-07-06,MNE24043,M,125,Tomoka River,Ormond Beach,Perinatal (<= 150 cm)
Bay,2024-07-06,MNW24094,M,310,Grand Lagoon,Panama City,Verified; Not Necropsied
Martin,2024-07-06,MSE24050,M,289,St. Lucie River,Stuart,Human Related: Flood Gate/Canal Lock
Lee,2024-07-06,MSW24089,F,344,Blind Pass,Captiva,Verified; Not Necropsied
Brevard,2024-07-07,MEC24091,F,309,Indian River,Malabar,Human Related: Watercraft Collision
